game_pk,pitcher,batter,stand,p_throws,events,inning,at_bat_number,game_date,game_type
706923,453286,541645,R,R,strikeout,4,27,2022-03-21,S
706923,453286,542583,R,R,double,4,28,2022-03-21,S
706923,453286,660821,L,R,strikeout,4,26,2022-03-21,S
706923,453286,643265,R,R,field_out,3,22,2022-03-21,S
706923,453286,500743,R,R,field_out,5,35,2022-03-21,S
706923,453286,607732,R,R,field_out,5,34,2022-03-21,S
706923,453286,605119,R,R,field_out,5,33,2022-03-21,S
706923,453286,621563,L,R,strikeout,4,29,2022-03-21,S
706923,453286,500743,R,R,field_out,3,20,2022-03-21,S
706923,453286,541645,R,R,single,1,9,2022-03-21,S
706923,453286,660821,L,R,field_out,1,8,2022-03-21,S
706923,453286,643265,R,R,field_out,1,7,2022-03-21,S
706923,453286,665862,L,R,field_out,3,21,2022-03-21,S
706923,453286,665862,L,R,single,1,6,2022-03-21,S
706923,453286,542583,R,R,strikeout,1,10,2022-03-21,S
706923,453286,607732,R,R,strikeout,2,16,2022-03-21,S
706923,453286,605119,R,R,field_out,2,15,2022-03-21,S
706923,453286,621563,L,R,field_out,2,14,2022-03-21,S
706894,453286,670298,R,R,field_out,7,54,2022-03-27,S
706894,453286,663457,L,R,field_out,7,56,2022-03-27,S
706894,453286,668843,L,R,field_out,7,55,2022-03-27,S
706894,453286,645305,R,R,double,7,53,2022-03-27,S
706894,453286,676475,L,R,single,7,52,2022-03-27,S
706894,453286,686780,R,R,strikeout,9,72,2022-03-27,S
706894,453286,670298,R,R,strikeout,9,73,2022-03-27,S
706894,453286,680977,L,R,field_out,6,47,2022-03-27,S
706894,453286,676475,L,R,field_out,9,71,2022-03-27,S
706894,453286,660731,L,R,home_run,9,70,2022-03-27,S
706894,453286,666206,R,R,strikeout,8,64,2022-03-27,S
706894,453286,660766,R,R,field_out,8,66,2022-03-27,S
706894,453286,641512,R,R,strikeout,8,65,2022-03-27,S
706894,453286,670298,R,R,strikeout,5,35,2022-03-27,S
706894,453286,645305,R,R,strikeout,5,34,2022-03-27,S
706894,453286,660766,R,R,field_out,4,27,2022-03-27,S
706894,453286,680977,L,R,field_out,4,28,2022-03-27,S
706894,453286,676475,L,R,field_out,4,29,2022-03-27,S
706894,453286,666185,L,R,field_out,5,36,2022-03-27,S
706894,453286,663457,L,R,field_out,6,43,2022-03-27,S
706894,453286,660766,R,R,walk,6,46,2022-03-27,S
706894,453286,657557,R,R,hit_by_pitch,6,45,2022-03-27,S
706894,453286,664056,R,R,strikeout,6,44,2022-03-27,S
662559,453286,596748,R,R,strikeout,4,34,2022-04-08,R
662559,453286,628450,L,R,field_out,4,33,2022-04-08,R
662559,453286,660688,L,R,field_out,4,32,2022-04-08,R
662559,453286,605137,L,R,field_out,6,52,2022-04-08,R
662559,453286,443558,R,R,grounded_into_double_play,6,51,2022-04-08,R
662559,453286,665742,L,R,walk,6,50,2022-04-08,R
662559,453286,514917,L,R,strikeout,5,43,2022-04-08,R
662559,453286,543829,L,R,field_out,5,42,2022-04-08,R
662559,453286,444876,R,R,strikeout,5,41,2022-04-08,R
662559,453286,605137,L,R,home_run,4,31,2022-04-08,R
662559,453286,628450,L,R,sac_fly,2,12,2022-04-08,R
662559,453286,660688,L,R,single,2,11,2022-04-08,R
662559,453286,665742,L,R,field_out,1,5,2022-04-08,R
662559,453286,514917,L,R,field_out,1,4,2022-04-08,R
662559,453286,596748,R,R,field_out,2,13,2022-04-08,R
662559,453286,443558,R,R,strikeout,1,6,2022-04-08,R
662559,453286,444876,R,R,strikeout,2,14,2022-04-08,R
662559,453286,605137,L,R,hit_by_pitch,2,10,2022-04-08,R
662559,453286,443558,R,R,single,4,30,2022-04-08,R
662559,453286,665742,L,R,field_out,3,22,2022-04-08,R
662559,453286,514917,L,R,field_out,3,21,2022-04-08,R
662559,453286,543829,L,R,strikeout,3,20,2022-04-08,R
661643,453286,547180,L,R,field_out,3,23,2022-04-13,R
661643,453286,592663,R,R,strikeout,3,22,2022-04-13,R
661643,453286,656941,L,R,field_out,3,21,2022-04-13,R
661643,453286,592206,R,R,double,4,31,2022-04-13,R
661643,453286,544369,L,R,strikeout,4,33,2022-04-13,R
661643,453286,592663,R,R,single,5,45,2022-04-13,R
661643,453286,656941,L,R,strikeout,5,44,2022-04-13,R
661643,453286,547180,L,R,field_out,5,46,2022-04-13,R
661643,453286,592206,R,R,field_out,5,47,2022-04-13,R
661643,453286,663837,R,R,field_out,4,36,2022-04-13,R
661643,453286,681082,L,R,single,4,35,2022-04-13,R
661643,453286,622666,L,R,strikeout,4,34,2022-04-13,R
661643,453286,516416,R,R,single,4,32,2022-04-13,R
661643,453286,516416,R,R,strikeout,1,8,2022-04-13,R
661643,453286,547180,L,R,walk,1,6,2022-04-13,R
661643,453286,592663,R,R,field_out,1,5,2022-04-13,R
661643,453286,656941,L,R,walk,1,4,2022-04-13,R
661643,453286,544369,L,R,field_out,1,9,2022-04-13,R
661643,453286,663837,R,R,strikeout,2,16,2022-04-13,R
661643,453286,681082,L,R,single,2,15,2022-04-13,R
661643,453286,592206,R,R,walk,1,7,2022-04-13,R
661643,453286,622666,L,R,strikeout,2,14,2022-04-13,R
662616,453286,613564,L,R,strikeout,6,40,2022-04-19,R
662616,453286,621453,L,R,strikeout,7,52,2022-04-19,R
662616,453286,621453,L,R,strikeout,5,36,2022-04-19,R
662616,453286,573131,R,R,strikeout,4,28,2022-04-19,R
662616,453286,642731,R,R,field_out,5,35,2022-04-19,R
662616,453286,543063,L,R,field_out,5,34,2022-04-19,R
662616,453286,592626,L,R,field_out,4,29,2022-04-19,R
662616,453286,592200,R,R,strikeout,6,41,2022-04-19,R
662616,453286,642731,R,R,field_out,7,51,2022-04-19,R
662616,453286,543063,L,R,field_out,7,50,2022-04-19,R
662616,453286,592626,L,R,field_out,6,45,2022-04-19,R
662616,453286,573131,R,R,single,6,44,2022-04-19,R
662616,453286,474832,L,R,walk,6,43,2022-04-19,R
662616,453286,573262,L,R,walk,6,42,2022-04-19,R
662616,453286,474832,L,R,field_out,4,27,2022-04-19,R
662616,453286,592626,L,R,field_out,2,8,2022-04-19,R
662616,453286,573262,L,R,strikeout,1,1,2022-04-19,R
662616,453286,474832,L,R,strikeout,1,2,2022-04-19,R
662616,453286,573131,R,R,field_out,1,3,2022-04-19,R
662616,453286,543063,L,R,strikeout,2,9,2022-04-19,R
662616,453286,573262,L,R,field_out,3,19,2022-04-19,R
662616,453286,592200,R,R,walk,3,18,2022-04-19,R
662616,453286,621453,L,R,field_out,3,16,2022-04-19,R
662616,453286,642731,R,R,strikeout,2,10,2022-04-19,R
662616,453286,613564,L,R,strikeout,3,17,2022-04-19,R
662008,453286,425877,R,R,strikeout,5,36,2022-04-25,R
662008,453286,664056,R,R,field_out,5,37,2022-04-25,R
662008,453286,669242,L,R,strikeout,6,42,2022-04-25,R
662008,453286,666185,L,R,strikeout,4,30,2022-04-25,R
662008,453286,572816,L,R,field_out,4,29,2022-04-25,R
662008,453286,502671,R,R,single,6,43,2022-04-25,R
662008,453286,624641,R,R,strikeout,5,35,2022-04-25,R
662008,453286,624641,R,R,strikeout,7,52,2022-04-25,R
662008,453286,572816,L,R,field_out,7,50,2022-04-25,R
662008,453286,666185,L,R,field_out,7,51,2022-04-25,R
662008,453286,571448,R,R,field_out,6,45,2022-04-25,R
662008,453286,641933,R,R,strikeout,6,44,2022-04-25,R
662008,453286,571448,R,R,field_out,1,7,2022-04-25,R
662008,453286,641933,R,R,field_error,1,6,2022-04-25,R
662008,453286,572816,L,R,strikeout,2,13,2022-04-25,R
662008,453286,502671,R,R,field_out,1,5,2022-04-25,R
662008,453286,571448,R,R,field_out,4,28,2022-04-25,R
662008,453286,669242,L,R,field_out,1,4,2022-04-25,R
662008,453286,666185,L,R,strikeout,2,14,2022-04-25,R
662008,453286,641933,R,R,strikeout,3,23,2022-04-25,R
662008,453286,502671,R,R,single,3,22,2022-04-25,R
662008,453286,669242,L,R,walk,3,21,2022-04-25,R
662008,453286,664056,R,R,field_out,3,20,2022-04-25,R
662008,453286,624641,R,R,strikeout,2,15,2022-04-25,R
662008,453286,425877,R,R,field_out,3,19,2022-04-25,R
662579,453286,656941,L,R,home_run,4,28,2022-05-01,R
662579,453286,664761,R,R,field_out,4,29,2022-05-01,R
662579,453286,622666,L,R,field_out,5,35,2022-05-01,R
662579,453286,592206,R,R,field_out,4,26,2022-05-01,R
662579,453286,547180,L,R,field_out,4,25,2022-05-01,R
662579,453286,592663,R,R,walk,4,27,2022-05-01,R
662579,453286,656555,R,R,strikeout,6,45,2022-05-01,R
662579,453286,656555,R,R,grounded_into_double_play,3,20,2022-05-01,R
662579,453286,592206,R,R,strikeout,6,47,2022-05-01,R
662579,453286,547180,L,R,home_run,6,46,2022-05-01,R
662579,453286,592663,R,R,field_out,6,48,2022-05-01,R
662579,453286,516416,R,R,strikeout,5,37,2022-05-01,R
662579,453286,546318,L,R,strikeout,5,36,2022-05-01,R
662579,453286,656941,L,R,home_run,2,9,2022-05-01,R
662579,453286,656555,R,R,strikeout,1,2,2022-05-01,R
662579,453286,592206,R,R,strikeout,2,7,2022-05-01,R
662579,453286,547180,L,R,strikeout,1,3,2022-05-01,R
662579,453286,516416,R,R,strikeout,1,1,2022-05-01,R
662579,453286,592663,R,R,strikeout,2,8,2022-05-01,R
662579,453286,546318,L,R,field_out,3,18,2022-05-01,R
662579,453286,516416,R,R,single,3,19,2022-05-01,R
662579,453286,622666,L,R,field_out,2,11,2022-05-01,R
662579,453286,664761,R,R,single,2,10,2022-05-01,R
661626,453286,622666,L,R,single,4,30,2022-05-08,R
661626,453286,681082,L,R,single,4,31,2022-05-08,R
661626,453286,656941,L,R,single,3,20,2022-05-08,R
661626,453286,592663,R,R,single,4,27,2022-05-08,R
661626,453286,592206,R,R,strikeout,3,23,2022-05-08,R
661626,453286,547180,L,R,single,3,22,2022-05-08,R
661626,453286,546318,L,R,strikeout,4,28,2022-05-08,R
661626,453286,622666,L,R,strikeout,6,48,2022-05-08,R
661626,453286,664761,R,R,single,5,36,2022-05-08,R
661626,453286,516416,R,R,field_out,6,47,2022-05-08,R
661626,453286,546318,L,R,field_out,6,46,2022-05-08,R
661626,453286,592663,R,R,field_out,5,39,2022-05-08,R
661626,453286,656941,L,R,field_out,4,32,2022-05-08,R
661626,453286,592206,R,R,strikeout,5,38,2022-05-08,R
661626,453286,547180,L,R,field_out,5,37,2022-05-08,R
661626,453286,516416,R,R,single,4,29,2022-05-08,R
661626,453286,622666,L,R,field_out,3,18,2022-05-08,R
661626,453286,592206,R,R,field_out,1,7,2022-05-08,R
661626,453286,547180,L,R,home_run,1,6,2022-05-08,R
661626,453286,592663,R,R,strikeout,2,11,2022-05-08,R
661626,453286,664761,R,R,field_out,1,5,2022-05-08,R
661626,453286,664761,R,R,single,3,21,2022-05-08,R
661626,453286,656941,L,R,strikeout,1,4,2022-05-08,R
661626,453286,681082,L,R,field_out,3,19,2022-05-08,R
661626,453286,622666,L,R,truncated_pa,2,14,2022-05-08,R
661626,453286,516416,R,R,single,2,13,2022-05-08,R
661626,453286,546318,L,R,strikeout,2,12,2022-05-08,R
662523,453286,624428,L,R,field_out,6,40,2022-05-13,R
662523,453286,620443,R,R,grounded_into_double_play,5,35,2022-05-13,R
662523,453286,519306,R,R,strikeout,5,34,2022-05-13,R
662523,453286,664034,R,R,field_out,6,41,2022-05-13,R
662523,453286,645801,L,R,hit_by_pitch,5,33,2022-05-13,R
662523,453286,677594,R,R,field_out,4,29,2022-05-13,R
662523,453286,608385,L,R,single,4,28,2022-05-13,R
662523,453286,677594,R,R,strikeout,7,48,2022-05-13,R
662523,453286,641487,L,R,strikeout,6,42,2022-05-13,R
662523,453286,645801,L,R,walk,7,49,2022-05-13,R
662523,453286,519306,R,R,grounded_into_double_play,7,50,2022-05-13,R
662523,453286,553993,R,R,single,7,46,2022-05-13,R
662523,453286,608385,L,R,walk,7,47,2022-05-13,R
662523,453286,553993,R,R,strikeout,4,27,2022-05-13,R
662523,453286,608385,L,R,field_out,2,11,2022-05-13,R
662523,453286,553993,R,R,strikeout,2,10,2022-05-13,R
662523,453286,641487,L,R,strikeout,1,3,2022-05-13,R
662523,453286,664034,R,R,field_out,1,2,2022-05-13,R
662523,453286,624428,L,R,field_out,1,1,2022-05-13,R
662523,453286,677594,R,R,field_out,2,12,2022-05-13,R
662523,453286,624428,L,R,field_out,4,24,2022-05-13,R
662523,453286,641487,L,R,single,4,26,2022-05-13,R
662523,453286,664034,R,R,hit_by_pitch,4,25,2022-05-13,R
662523,453286,620443,R,R,field_out,3,19,2022-05-13,R
662523,453286,519306,R,R,field_out,3,18,2022-05-13,R
662523,453286,645801,L,R,field_out,3,17,2022-05-13,R
662554,453286,425877,R,R,field_out,4,32,2022-05-18,R
662554,453286,666185,L,R,field_out,4,30,2022-05-18,R
662554,453286,572816,L,R,strikeout,4,29,2022-05-18,R
662554,453286,624641,R,R,single,5,37,2022-05-18,R
662554,453286,680977,L,R,field_out,5,38,2022-05-18,R
662554,453286,572816,L,R,strikeout,6,50,2022-05-18,R
662554,453286,666185,L,R,single,6,51,2022-05-18,R
662554,453286,571448,R,R,single,6,48,2022-05-18,R
662554,453286,502671,R,R,strikeout,5,39,2022-05-18,R
662554,453286,660766,R,R,force_out,6,49,2022-05-18,R
662554,453286,405395,R,R,single,4,31,2022-05-18,R
662554,453286,660766,R,R,field_error,2,11,2022-05-18,R
662554,453286,571448,R,R,field_out,1,3,2022-05-18,R
662554,453286,502671,R,R,field_out,1,2,2022-05-18,R
662554,453286,680977,L,R,strikeout,1,1,2022-05-18,R
662554,453286,660766,R,R,field_out,3,23,2022-05-18,R
662554,453286,571448,R,R,field_out,3,22,2022-05-18,R
662554,453286,502671,R,R,field_out,3,21,2022-05-18,R
662554,453286,680977,L,R,hit_by_pitch,3,20,2022-05-18,R
662554,453286,572816,L,R,force_out,2,12,2022-05-18,R
662554,453286,624641,R,R,grounded_into_double_play,2,16,2022-05-18,R
662554,453286,425877,R,R,single,2,15,2022-05-18,R
662554,453286,405395,R,R,single,2,14,2022-05-18,R
662554,453286,666185,L,R,double,2,13,2022-05-18,R
663035,453286,456781,R,R,strikeout,4,31,2022-07-05,R
663035,453286,519058,L,R,strikeout,4,32,2022-07-05,R
663035,453286,571980,L,R,single,4,30,2022-07-05,R
