game_date,player_id,team,opponent,lineup_slot,prob_hit,prob_hits_over_0.5,prob_hits_over_1.5,prob_hits_over_2.5,prob_hr,prob_hrr_over_0.5,prob_hrr_over_1.5,prob_hrr_over_2.5,prob_hrr_over_3.5,prob_k,prob_tb_over_0.5,prob_tb_over_1.5,prob_tb_over_2.5,prob_tb_over_3.5,prob_walk,got_hr,got_hit,got_walk,hrr,total_bases,hits,pa,game_pk,name
2026-08-18,694671,TEX,WSH,1,0.6732901655677191,,,,0.1690257255456878,0.7408278160651612,0.5489551103293169,0.3816894126556084,0.246382949304094,0.6512044217100132,,,,,0.4811094792227577,0,1,1,4,2,2,5,822859.0,Wyatt Langford
2026-08-18,682928,WSH,TEX,1,0.691646638571304,,,,0.1523506724490075,0.7359108300582565,0.54397906623857,0.3777680958444739,0.2438086581687908,0.6534194314731959,,,,,0.3878952605026575,0,1,0,2,3,2,4,822859.0,CJ Abrams
2026-08-18,608369,TEX,WSH,2,0.6718536100162774,,,,0.1872178975014987,0.7340195905029241,0.5400078770697582,0.3725490437033285,0.2383167739459107,0.6473713657263453,,,,,0.4211679600691045,0,1,0,3,3,2,4,822859.0,Corey Seager
2026-08-18,694673,WSH,TEX,2,0.5151062503846408,,,,0.1169313993443102,0.5966817718120364,0.383461069103964,0.2299410825561368,0.1248204642741341,0.556208699084341,,,,,0.2651936138907648,0,0,0,0,0,0,3,822859.0,Abimelec Ortiz
2026-08-18,669394,TEX,WSH,3,0.6302023890322741,,,,0.1824898373144809,0.6882596492270865,0.4861266262100983,0.3219518339241929,0.1968145267412949,0.6888405246289591,,,,,0.3462432211412581,0,1,0,1,1,1,4,822859.0,Jake Burger
2026-08-18,691781,WSH,TEX,3,0.6431631289769338,,,,0.1015124274855818,0.6506394750477508,0.4463028853262676,0.28763287983028,0.1708171901823988,0.625058522946441,,,,,0.2137594158932736,0,0,0,0,0,0,3,822859.0,Brady House
2026-08-18,607043,TEX,WSH,4,0.6648566957908547,,,,0.1142904523996013,0.6849595095675957,0.4823382420282714,0.3184999733690001,0.1940805645231859,0.6487696392129682,,,,,0.3966486977958016,0,1,0,4,2,2,4,822859.0,Brandon Nimmo
2026-08-18,695734,WSH,TEX,4,0.6605367862187509,,,,0.1223618377179333,0.6826254137667527,0.4806019061405295,0.3175837915262507,0.1938387287024005,0.5536799509414836,,,,,0.3019442945763866,0,1,0,1,1,1,4,822859.0,Daylen Lile
2026-08-18,677649,TEX,WSH,5,0.6026172633269427,,,,0.0983407717733863,0.6317563653231086,0.4245141041778291,0.2675066425390021,0.1545442435939294,0.5806562434873841,,,,,0.3104551792668272,0,1,1,1,1,1,4,822859.0,Ezequiel Duran
2026-08-18,686611,WSH,TEX,5,0.611929203410565,,,,0.1018080336339222,0.6440300268643722,0.4391889519764374,0.2812932582654787,0.1658039834808745,0.5992493500286631,,,,,0.3132913378002495,0,1,1,1,1,1,4,822859.0,Dylan Crews
2026-08-18,679822,TEX,WSH,6,0.5008422907486898,,,,0.094655144381511,0.5486398991323632,0.3404791959029051,0.1976503782081813,0.1033297674096101,0.5755014126022927,,,,,0.2854253304702625,1,1,1,4,4,1,2,822859.0,Justin Foscue
2026-08-18,678391,WSH,TEX,6,0.5093196950734772,,,,0.0665449715309608,0.5322920922373784,0.3284264566254173,0.1900567303290064,0.0992004364577877,0.3994494569053745,,,,,0.3542893845496427,0,0,0,0,0,0,3,822859.0,Jorbit Vivas
2026-08-18,643376,TEX,WSH,7,0.5324981907130752,,,,0.1256897444079176,0.6133702611752806,0.4058366907703633,0.2518485257292993,0.1429385368084112,0.5898822357687096,,,,,0.4523125152088295,0,0,0,0,0,0,4,822859.0,Danny Jansen
2026-08-18,695670,WSH,TEX,7,0.520533733811769,,,,0.0726884043621472,0.5543018282445031,0.3446496565513409,0.2001931856573082,0.1046177018699997,0.4919560458764623,,,,,0.3280071925296857,0,1,0,1,1,1,4,822859.0,Harry Ford
2026-08-18,683227,TEX,WSH,8,0.5153650008398524,,,,0.0795407503198817,0.5518964464999291,0.3438435130299127,0.2004585690533856,0.1053816866837853,0.4182692542432312,,,,,0.2450757568515671,0,1,1,3,2,2,4,822859.0,Cody Freeman
2026-08-18,683083,WSH,TEX,8,0.5327051944082376,,,,0.0519115324288791,0.5526291937933036,0.3469434454222873,0.2043154442278373,0.1089685567759571,0.4336487346242694,,,,,0.2840431273583987,0,1,0,1,1,1,4,822859.0,Nasim Nuñez
2026-08-18,694497,TEX,WSH,9,0.4967191160959182,,,,0.0739518158853978,0.5811116466792886,0.3716257908303534,0.2224829729803505,0.120840383909036,0.5724166082029567,,,,,0.3600645454547267,0,0,0,0,0,0,4,822859.0,Evan Carter
2026-08-18,696285,WSH,TEX,9,0.568918948962627,,,,0.0561657689609465,0.5985561701899186,0.3900263768758071,0.2382383830096917,0.1326890196068904,0.4090127137762671,,,,,0.2366713491705418,0,0,0,0,0,0,3,822859.0,Jacob Young
2026-08-18,802415,TB,TOR,1,0.7064083327457028,,,,0.0617121941356673,0.6959486917291234,0.4962434408646674,0.3322693197117321,0.2058982917931222,0.3709028555126376,,,,,0.2687406707037689,0,1,0,2,2,2,5,822938.0,Chandler Simpson
2026-08-18,703520,TOR,TB,1,0.6042549723497249,,,,0.0863491715103723,0.6197657010158184,0.4147839613347385,0.2612131673250965,0.151295274067963,0.5127621667888297,,,,,0.3292502318797469,0,1,0,4,2,2,6,822938.0,Brett Bateman
2026-08-18,691406,TB,TOR,2,0.6638545458749165,,,,0.1792713793588636,0.7416255033629112,0.5492243426671173,0.3813472091685201,0.2456084293477779,0.6213657812448348,,,,,0.3699652795705864,0,1,0,2,2,2,5,822938.0,Junior Caminero
2026-08-18,664770,TOR,TB,2,0.6365749178527057,,,,0.0854195607567583,0.6571888481422025,0.4540109413093259,0.2948751650872737,0.1767667340535671,0.4611030758443277,,,,,0.2831987134383042,0,1,1,2,1,1,6,822938.0,Nathan Lukes
2026-08-18,666018,TB,TOR,3,0.6319133722947472,,,,0.096801369422303,0.6759812609446209,0.4726053397459776,0.309914598258521,0.187409954057555,0.6197642239607098,,,,,0.3963055655399321,0,1,0,1,1,1,5,822938.0,Jonathan Aranda
2026-08-18,672386,TOR,TB,3,0.6542809708139715,,,,0.0883694710744297,0.665583894841866,0.4627482818872531,0.3022851316789086,0.1822901336638994,0.4435825596113475,,,,,0.3115066709816044,1,1,0,8,7,3,6,822938.0,Alejandro Kirk
