market,player,line,prob_over,hold,n_books,commence_time,home_team,away_team,game_date,fetched_at_utc
pitcher_strikeouts,Jeffrey Springs,3.5,0.6027461935754987,0.06442244738091174,2,2026-09-06T01:41:00Z,Seattle Mariners,Athletics,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Brandon Pfaadt,3.5,0.5752161851104084,0.06141629275417104,2,2026-09-05T23:16:00Z,Houston Astros,Arizona Diamondbacks,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Anthony Kay,3.5,0.57483141268368,0.062491264553135695,4,2026-09-05T23:11:00Z,Chicago White Sox,Minnesota Twins,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Chris Bassitt,3.5,0.5727636849132176,0.06392045454545459,3,2026-09-05T23:06:00Z,Baltimore Orioles,Boston Red Sox,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Framber Valdez,3.5,0.5645378005569581,0.06295096682764267,4,2026-09-05T22:11:00Z,Cleveland Guardians,Detroit Tigers,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Ryan Gusto,3.5,0.552733296521259,0.06466784244562018,5,2026-09-05T20:11:00Z,Miami Marlins,Chicago Cubs,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Andrew Abbott,3.5,0.5524688492321405,0.06227296315516351,5,2026-09-05T22:41:00Z,Cincinnati Reds,Milwaukee Brewers,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Javier Assad,3.5,0.5187593796898449,0.06466416353775561,5,2026-09-05T20:11:00Z,Miami Marlins,Chicago Cubs,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Mason Adams,3.5,0.5046575790762068,0.06643541480420134,6,2026-09-06T00:11:00Z,Colorado Rockies,St. Louis Cardinals,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Max Scherzer,3.5,0.5030953363598845,0.06318560772268533,5,2026-09-05T23:11:00Z,Kansas City Royals,Toronto Blue Jays,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Ethan Pecko,3.5,0.5,0.06635607998879844,6,2026-09-05T23:16:00Z,Houston Astros,Arizona Diamondbacks,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Martin Perez,3.5,0.4693877551020409,0.06521739130434767,5,2026-09-05T22:06:00Z,Philadelphia Phillies,Atlanta Braves,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Anthony Molina,3.5,0.44726670347874103,0.06466784244562018,5,2026-09-05T20:11:00Z,New York Mets,San Francisco Giants,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Seth Lugo,3.5,0.44051285724518296,0.06353484790142483,5,2026-09-05T23:11:00Z,Kansas City Royals,Toronto Blue Jays,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Carlos Rodon,4.5,0.5751633986928104,0.06993006993007,3,2026-09-05T23:16:00Z,San Diego Padres,New York Yankees,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Matthew Liberatore,4.5,0.5732574679943101,0.0603318250377074,1,2026-09-06T00:11:00Z,Colorado Rockies,St. Louis Cardinals,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Zach Thornton,4.5,0.5633187772925764,0.0650148089287006,5,2026-09-05T20:11:00Z,New York Mets,San Francisco Giants,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Jeffrey Springs,4.5,0.4289726798643744,0.06696708309611532,4,2026-09-06T01:41:00Z,Seattle Mariners,Athletics,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Framber Valdez,4.5,0.4248366013071895,0.06993006993007,1,2026-09-05T22:11:00Z,Cleveland Guardians,Detroit Tigers,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Chris Bassitt,4.5,0.4240768139378431,0.06462775241892693,2,2026-09-05T23:06:00Z,Baltimore Orioles,Boston Red Sox,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Brandon Pfaadt,4.5,0.4232458685651612,0.06940519430010272,4,2026-09-05T23:16:00Z,Houston Astros,Arizona Diamondbacks,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Braxton Ashcraft,5.5,0.5732574679943101,0.06466784244562018,5,2026-09-05T22:41:00Z,Pittsburgh Pirates,Los Angeles Angels,2026-09-05,2026-09-05T19:06:20Z
pitcher_strikeouts,Sonny Gray,5.5,0.5041554124246831,0.06411265634566599,5,2026-09-05T23:06:00Z,Baltimore Orioles,Boston Red Sox,2026-09-05,2026-09-05T19:06:20Z
