game_pk,pitcher_id,pitcher,team,opponent,expected_bf,starts_seen,k_rate,expected_k,lineup_faced,prob_k_over_5.5,prob_k_over_6.5,predicted_at_utc,start_time_utc
823987,554430,Zack Wheeler,PHI,LAA,23.27480222640245,21,0.2704441700007883,8.432260150631254,9,0.8437266272486754,0.7378722775091033,2026-08-30T22:56:51Z,2026-08-30T20:07:00Z
824232,607192,Tyler Glasnow,LAD,DET,23.00373755799659,12,0.266419647993532,6.912191084053892,9,0.6892800497972356,0.5410846483171291,2026-08-30T22:56:51Z,2026-08-30T17:40:00Z
823662,805673,Zebby Matthews,MIN,CWS,23.93866731155592,22,0.2064745519036844,6.032023014392704,9,0.5633088204972501,0.4017678828490789,2026-08-30T22:56:51Z,2026-08-30T18:10:00Z
823987,579328,Yusei Kikuchi,LAA,PHI,22.04565372566126,12,0.2141983869933299,6.015825749646764,9,0.5604174879608003,0.401353455564762,2026-08-30T22:56:51Z,2026-08-30T20:07:00Z
824959,605488,Jeffrey Springs,ATH,BAL,22.33950842960704,27,0.1921004391321419,5.819895008117873,9,0.5278615463389065,0.3694872783552911,2026-08-30T22:56:51Z,2026-08-30T20:05:00Z
823010,677952,Braxton Ashcraft,PIT,STL,23.29858804802798,29,0.2472223618305543,5.783840321893459,9,0.5229405223065828,0.3621294584148621,2026-08-30T22:56:51Z,2026-08-30T18:15:00Z
823502,701542,Will Warren,NYY,BOS,22.25251922820009,30,0.2212549936032586,5.703331371635066,9,0.5091501697103615,0.3507889314531138,2026-08-30T22:56:51Z,2026-08-30T17:35:00Z
823010,669461,Matthew Liberatore,STL,PIT,21.79142412733553,30,0.2307439712673165,5.599161632772086,9,0.491499853195565,0.3349618937248971,2026-08-30T22:56:51Z,2026-08-30T18:15:00Z
824876,641816,Tyler Mahle,ATL,COL,22.37499711562868,24,0.2260427151915838,5.4330530700484605,9,0.4631806069230063,0.3075382979773485,2026-08-30T22:56:51Z,2026-08-30T17:35:00Z
824393,800048,Parker Messick,CLE,KC,23.337882835253303,31,0.2432646613516734,5.4258118970968034,9,0.4615414075419658,0.3046217553761133,2026-08-30T22:56:51Z,2026-08-30T17:40:00Z
824232,664285,Framber Valdez,DET,LAD,24.430319810043223,31,0.1925881635241977,5.417927503579815,9,0.4597436361588239,0.3021750373064493,2026-08-30T22:56:51Z,2026-08-30T17:40:00Z
822766,453286,Max Scherzer,TOR,SEA,20.20108295741754,16,0.195141590997482,5.207239479490099,9,0.424814280036918,0.2777566701677856,2026-08-30T22:56:51Z,2026-08-30T17:37:00Z
822766,669302,Logan Gilbert,SEA,TOR,23.46491600050526,32,0.2514125115826716,5.121498444015369,9,0.4078454872251228,0.2571835955519118,2026-08-30T22:56:51Z,2026-08-30T17:37:00Z
823502,624133,Ranger Suarez,BOS,NYY,21.74808615347226,28,0.2335316656615028,5.021437448557843,9,0.3920259046406333,0.2460376728405029,2026-08-30T22:56:51Z,2026-08-30T17:35:00Z
823740,669160,Dustin May,MIL,TEX,22.688585965802893,24,0.2234837410573395,4.987042185102269,9,0.3850003403845403,0.2388099183063693,2026-08-30T22:56:51Z,2026-08-30T18:10:00Z
822933,592662,Robbie Ray,SD,TB,22.79413700945232,29,0.2112604979611677,4.917887081176836,9,0.3726587156644679,0.2275666568853105,2026-08-30T22:56:51Z,2026-08-30T17:40:00Z
824959,605135,Chris Bassitt,BAL,ATH,22.449880977813045,17,0.1817267419026702,4.870738571295438,9,0.3646310291835672,0.2208513000187484,2026-08-30T22:56:51Z,2026-08-30T20:05:00Z
823740,677958,Kumar Rocker,TEX,MIL,22.1358273364095,23,0.2069611283230976,4.687410423443494,9,0.3330876939718453,0.1964994213293962,2026-08-30T22:56:51Z,2026-08-30T18:10:00Z
823662,663855,Jordan Hicks,CWS,MIN,22.587748344370866,0,0.2226782965623396,4.66041240972153,9,0.3278681713502029,0.1926005681017722,2026-08-30T22:56:51Z,2026-08-30T18:10:00Z
822933,656876,Drew Rasmussen,TB,SD,21.416784357883085,30,0.2397627667875816,4.657755100931787,9,0.3293724192216543,0.1953111177429843,2026-08-30T22:56:51Z,2026-08-30T17:40:00Z
824876,690279,Mason Adams,COL,ATL,21.78288021377948,1,0.2263790079872571,4.614156070411316,9,0.3206525218983052,0.1867938780735931,2026-08-30T22:56:51Z,2026-08-30T17:35:00Z
822688,674841,Andrew Alvarez,WSH,MIA,20.883060701315348,17,0.2138518829825543,4.243087013714851,9,0.2593303047792148,0.1420496416886562,2026-08-30T22:56:51Z,2026-08-30T16:15:00Z
824393,607625,Seth Lugo,KC,CLE,23.56979234127896,27,0.1926706780477945,4.1662940618939945,9,0.2422814681635743,0.1281884141797734,2026-08-30T22:56:51Z,2026-08-30T17:40:00Z
823580,804267,Zac Thornton,NYM,HOU,22.39200117132946,10,0.2022612561111732,3.956115789422867,9,0.2102996014652249,0.1072464362540847,2026-08-30T22:56:51Z,2026-08-30T19:10:00Z
823580,814490,Ethan Pecko,HOU,NYM,21.81528615202135,2,0.2092054280709825,3.882095288238955,9,0.2000722170368248,0.1009524613800574,2026-08-30T22:56:51Z,2026-08-30T19:10:00Z
822688,676083,Janson Junk,MIA,WSH,22.1358273364095,23,0.1845040609518955,3.703108606376616,9,0.1725424499864071,0.0830261229865107,2026-08-30T22:56:51Z,2026-08-30T16:15:00Z
824636,695505,Chase Burns,CIN,CHC,22.6654012531496,25,0.26887340776081387,6.724267223195534,9,0.6653271218050292,0.5134733421162422,2026-08-30T23:09:25Z,2026-08-30T23:20:00Z
824636,684007,Shota Imanaga,CHC,CIN,22.721636336653866,31,0.23211473731998422,6.499665058672273,9,0.6324405212354999,0.4776522247980935,2026-08-30T23:09:25Z,2026-08-30T23:20:00Z
