game_pk,pitcher_id,pitcher,team,opponent,expected_bf,starts_seen,k_rate,expected_k,lineup_faced,prob_k_over_5.5,prob_k_over_6.5,k_dist,predicted_at_utc,start_time_utc
823984,543037,Gerrit Cole,NYY,LAA,23.455195294078713,17,0.24920469931488487,7.589451868777145,9,0.7675835676377611,0.636565727477311,"0.000673,0.004562,0.015910,0.037963,0.069518,0.103790,0.131018,0.143183,0.137695,0.117893,0.090644,0.062983,0.039729,0.022817,0.011949,0.005706,0.002481,0.000980,0.000350,0.000113,0.000032,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-02T01:38:00Z
823340,694973,Paul Skenes,PIT,SF,22.276015500908013,30,0.28327670737260363,7.419456606420011,9,0.7454088345165868,0.6117603877896177,"0.000964,0.006003,0.019404,0.043474,0.075777,0.108969,0.133648,0.142703,0.134527,0.113153,0.085630,0.058690,0.036612,0.020854,0.010858,0.005165,0.002238,0.000880,0.000312,0.000099,0.000028,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T22:40:00Z
822929,642547,Freddy Peralta,TB,NYM,22.7724856549442,31,0.23376722170847797,6.87803619010947,9,0.6823618489973425,0.5346918352707574,"0.001413,0.008530,0.026637,0.057285,0.094998,0.128774,0.147670,0.146498,0.127757,0.099137,0.069103,0.043580,0.024991,0.013067,0.006233,0.002708,0.001068,0.000381,0.000122,0.000035,0.000009,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T22:40:00Z
825038,666200,Jesús Luzardo,PHI,AZ,24.789292377633277,31,0.2854878054020476,6.216338549117086,9,0.5932582248995736,0.43219621941641184,"0.002057,0.012427,0.038012,0.078384,0.122303,0.153558,0.161062,0.144640,0.113126,0.078004,0.047841,0.026269,0.012973,0.005780,0.002327,0.000847,0.000278,0.000082,0.000022,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-02T01:40:00Z
822854,669022,MacKenzie Gore,TEX,ATH,22.852384376988706,30,0.24837763242874458,6.143252536369787,9,0.5795353992394049,0.4209909314485513,"0.002601,0.014564,0.041980,0.082784,0.125051,0.153485,0.158544,0.141019,0.109743,0.075599,0.046508,0.025723,0.012854,0.005823,0.002395,0.000895,0.000304,0.000093,0.000026,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-02T00:05:00Z
824716,693433,Bryan Woo,SEA,BOS,22.877677681943858,29,0.2532619955725437,5.82414443503035,9,0.5282773676689624,0.36976745615977186,"0.003561,0.018898,0.051707,0.096848,0.138913,0.161796,0.158510,0.133685,0.098653,0.064456,0.037609,0.019719,0.009329,0.003992,0.001546,0.000542,0.000171,0.000049,0.000012,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T22:45:00Z
823984,680570,Grayson Rodriguez,LAA,NYY,21.82628111073645,15,0.21375473639320233,5.701765119760874,9,0.5076052831962615,0.352110506006482,"0.004515,0.022383,0.057747,0.103155,0.142721,0.161874,0.155495,0.129152,0.094107,0.060819,0.035167,0.018319,0.008643,0.003707,0.001448,0.000516,0.000167,0.000049,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-02T01:38:00Z
823340,657277,Logan Webb,SF,PIT,24.552672561426746,30,0.21354921000332155,5.677601571650123,9,0.5047413782873738,0.3444619579935545,"0.003570,0.019645,0.054781,0.103011,0.146545,0.167706,0.160279,0.131130,0.093432,0.058695,0.032803,0.016414,0.007386,0.002997,0.001098,0.000363,0.000108,0.000029,0.000007,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T22:40:00Z
823661,687570,Connor Prielipp,MIN,DET,22.6994826110341,19,0.24006088686241547,5.47175389053991,9,0.46917886454768876,0.3141302055724737,"0.005084,0.025233,0.064748,0.113912,0.153597,0.168247,0.155049,0.123020,0.085406,0.052492,0.028807,0.014202,0.006315,0.002539,0.000924,0.000304,0.000090,0.000024,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T23:40:00Z
824313,687312,Gabriel Hughes,COL,BAL,22.407134151934898,9,0.20995880878512208,5.371234111644551,9,0.4517868997664238,0.2989727204124642,"0.005768,0.027770,0.069357,0.119146,0.157262,0.168910,0.152814,0.119165,0.081421,0.049337,0.026746,0.013051,0.005753,0.002295,0.000828,0.000270,0.000079,0.000021,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-02T00:40:00Z
822854,669372,J.T. Ginn,ATH,TEX,22.812774858761713,28,0.21538972323206404,5.361159831755641,9,0.4500399357984226,0.2963462803667484,"0.005511,0.027147,0.068913,0.119557,0.158514,0.170319,0.153694,0.119287,0.080981,0.048673,0.026123,0.012590,0.005466,0.002140,0.000756,0.000240,0.000068,0.000017,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-02T00:05:00Z
824391,681293,Spencer Arrighetti,TOR,CLE,22.90650827671842,18,0.22998712511810698,5.253508404387856,9,0.43153444122604895,0.2795989612485616,"0.006061,0.029376,0.073351,0.125085,0.162872,0.171720,0.151935,0.115534,0.076778,0.045128,0.023659,0.011125,0.004706,0.001794,0.000616,0.000190,0.000053,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T22:40:00Z
824391,668909,Gavin Williams,CLE,TOR,23.47276576698902,31,0.2961075065782925,5.216358767873619,9,0.425297428537056,0.272569522197515,"0.005875,0.029151,0.073838,0.126786,0.165296,0.173756,0.152728,0.114965,0.075330,0.043460,0.022253,0.010168,0.004161,0.001528,0.000504,0.000149,0.000040,0.000009,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T22:40:00Z
824472,666157,Nick Lodolo,CIN,SD,22.50922015714608,20,0.2109892188173175,5.118964336869194,9,0.4084655702622735,0.2602437196603752,"0.007164,0.033319,0.080144,0.132190,0.167113,0.171604,0.148222,0.110189,0.071643,0.041213,0.021154,0.009746,0.004047,0.001519,0.000515,0.000158,0.000044,0.000011,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T22:40:00Z
823908,641778,Eric Lauer,LAD,STL,22.210955662742307,17,0.1863703423252879,5.04493675446907,9,0.3959569791231217,0.24890804833533248,"0.007572,0.034938,0.083241,0.135891,0.169932,0.172468,0.147049,0.107716,0.068846,0.038817,0.019459,0.008720,0.003507,0.001268,0.000413,0.000121,0.000032,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-02T02:10:00Z
824633,571510,Matthew Boyd,CHC,MIL,23.11197423663456,21,0.1973968303301288,4.932345752634795,9,0.3750729936072154,0.23040641091284397,"0.007915,0.036886,0.087977,0.142504,0.175437,0.174208,0.144667,0.102914,0.063793,0.034887,0.016988,0.007415,0.002914,0.001034,0.000332,0.000096,0.000025,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T23:40:00Z
822929,640455,Sean Manaea,NYM,TB,23.17869759822618,17,0.22520350457167948,4.8840934882945835,9,0.36667849817471193,0.22350423623390128,"0.008300,0.038295,0.090473,0.145167,0.177009,0.174077,0.143174,0.100887,0.061940,0.033536,0.016150,0.006959,0.002693,0.000937,0.000294,0.000083,0.000021,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T22:40:00Z
824148,680732,Sean Burke,CWS,HOU,22.490832925303305,25,0.24843583718040066,4.830009581312223,9,0.35798048513467373,0.2173992348600899,"0.009227,0.041043,0.094189,0.147829,0.177352,0.172380,0.140581,0.098448,0.060172,0.032481,0.015622,0.006737,0.002617,0.000918,0.000291,0.000084,0.000022,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-02T00:10:00Z
823661,675512,Troy Melton,DET,MIN,23.224780547534934,17,0.21403626577017765,4.393842048835208,9,0.2815340262618146,0.15712677907353229,"0.013237,0.055514,0.118925,0.172603,0.189943,0.168244,0.124407,0.078681,0.043288,0.020969,0.009021,0.003467,0.001195,0.000370,0.000103,0.000026,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T23:40:00Z
822687,663623,Jake Irvin,WSH,ATL,21.834372205299932,22,0.2224262588888498,4.331816316389325,9,0.27324321408230373,0.1520789937935108,"0.015088,0.060058,0.123640,0.174479,0.188478,0.165013,0.121164,0.076312,0.041877,0.020246,0.008691,0.003330,0.001143,0.000352,0.000097,0.000024,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T22:45:00Z
822687,700363,AJ Smith-Shawver,ATL,WSH,22.204901023572475,3,0.2149091208703979,4.319486577109969,9,0.27022558419046355,0.14928694753123267,"0.014811,0.059735,0.124025,0.175714,0.189822,0.165668,0.120939,0.075557,0.041056,0.019635,0.008339,0.003166,0.001080,0.000332,0.000092,0.000023,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T22:45:00Z
824633,688107,Robert Gasser,MIL,CHC,21.717080963943086,18,0.22088280495802665,4.204746322165107,9,0.25245607289808936,0.1371970576139173,"0.017180,0.066128,0.131972,0.180853,0.189860,0.161550,0.115259,0.070522,0.037597,0.017665,0.007374,0.002749,0.000918,0.000275,0.000074,0.000018,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",2026-08-31T15:39:06Z,2026-09-01T23:40:00Z
