game_pk,player_id,name,team,opponent,is_home,lineup_slot,lineup_status,opposing_pitcher,venue_name,start_time_utc,expected_pa,batter_pa_seen,pitcher_pa_seen,prob_hr,prob_hit,prob_walk,prob_k,prob_hrr_over_0.5,prob_hrr_over_1.5,prob_hrr_over_2.5,prob_hrr_over_3.5,predicted_at_utc
822859,694671,Wyatt Langford,TEX,WSH,1,1,confirmed,Jackson Kent,Globe Life Field,2026-08-19T00:05:00Z,4.4110978501996225,1600,19,0.16902572554568784,0.6732901655677191,0.48110947922275776,0.6512044217100132,0.7408278160651612,0.5489551103293169,0.3816894126556084,0.24638294930409407,2026-08-18T22:18:22Z
822859,682928,CJ Abrams,WSH,TEX,0,1,confirmed,Cal Quantrill,Globe Life Field,2026-08-19T00:05:00Z,4.642038182089395,2945,2969,0.15235067244900755,0.691646638571304,0.3878952605026575,0.6534194314731959,0.7359108300582565,0.54397906623857,0.37776809584447396,0.24380865816879083,2026-08-18T22:18:22Z
822859,608369,Corey Seager,TEX,WSH,1,2,confirmed,Jackson Kent,Globe Life Field,2026-08-19T00:05:00Z,4.369775235089045,2733,19,0.18721789750149878,0.6718536100162774,0.42116796006910456,0.6473713657263453,0.7340195905029241,0.5400078770697582,0.37254904370332853,0.23831677394591078,2026-08-18T22:18:22Z
822859,694673,Abimelec Ortiz,WSH,TEX,0,2,confirmed,Cal Quantrill,Globe Life Field,2026-08-19T00:05:00Z,2.9243121171006363,97,2969,0.11693139934431025,0.5151062503846408,0.26519361389076485,0.556208699084341,0.5966817718120364,0.383461069103964,0.2299410825561368,0.12482046427413415,2026-08-18T22:18:22Z
822859,669394,Jake Burger,TEX,WSH,1,3,confirmed,Jackson Kent,Globe Life Field,2026-08-19T00:05:00Z,4.037823022462519,2411,19,0.18248983731448096,0.6302023890322741,0.3462432211412581,0.6888405246289591,0.6882596492270865,0.48612662621009833,0.3219518339241929,0.1968145267412949,2026-08-18T22:18:22Z
822859,691781,Brady House,WSH,TEX,0,3,confirmed,Cal Quantrill,Globe Life Field,2026-08-19T00:05:00Z,3.891264347247472,624,2969,0.10151242748558187,0.6431631289769338,0.2137594158932736,0.625058522946441,0.6506394750477508,0.44630288532626766,0.28763287983028,0.1708171901823988,2026-08-18T22:18:22Z
822859,607043,Brandon Nimmo,TEX,WSH,1,4,confirmed,Jackson Kent,Globe Life Field,2026-08-19T00:05:00Z,4.242117017668631,3419,19,0.11429045239960135,0.6648566957908547,0.39664869779580164,0.6487696392129682,0.6849595095675957,0.48233824202827147,0.31849997336900016,0.19408056452318592,2026-08-18T22:18:22Z
822859,695734,Daylen Lile,WSH,TEX,0,4,confirmed,Cal Quantrill,Globe Life Field,2026-08-19T00:05:00Z,4.202731793264548,958,2969,0.12236183771793332,0.6605367862187509,0.30194429457638666,0.5536799509414836,0.6826254137667527,0.48060190614052956,0.3175837915262507,0.19383872870240057,2026-08-18T22:18:22Z
822859,677649,Ezequiel Duran,TEX,WSH,1,5,confirmed,Jackson Kent,Globe Life Field,2026-08-19T00:05:00Z,3.5772205323907786,1853,19,0.0983407717733863,0.6026172633269427,0.31045517926682725,0.5806562434873841,0.6317563653231086,0.4245141041778291,0.2675066425390021,0.1545442435939294,2026-08-18T22:18:22Z
822859,686611,Dylan Crews,WSH,TEX,0,5,confirmed,Cal Quantrill,Globe Life Field,2026-08-19T00:05:00Z,4.109426456245148,894,2969,0.10180803363392221,0.611929203410565,0.3132913378002495,0.5992493500286631,0.6440300268643722,0.4391889519764374,0.28129325826547874,0.16580398348087455,2026-08-18T22:18:22Z
