window,window_start,window_end,n_games,solo,tier,leg_no,n_legs,player_id,name,team,opponent,game_pk,prop_key,prop,line,p,lift,base,kind,edge,clash,slip_p,game_date,built_at_utc
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,MIXED,1,3,805808,Kevin McGonigle,DET,COL,824225,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7171282935754003,1.0741961764591625,0.6675952766274469,bat,,False,0.06718793393771905,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,MIXED,2,3,681198,TJ Rumfield,COL,DET,824225,prob_walk,Walk,,0.4948611357768285,1.5283476728920455,0.3237883268015961,bat,,False,0.06718793393771905,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,MIXED,3,3,696100,Hunter Goodman,COL,DET,824225,prob_hr,HR,,0.1893263583710453,1.708593393686398,0.1108083169879065,bat,,False,0.06718793393771905,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,SAFE,1,3,805808,Kevin McGonigle,DET,COL,824225,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7171282935754003,1.0741961764591625,0.6675952766274469,bat,,False,0.36051841561777226,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,SAFE,2,3,696100,Hunter Goodman,COL,DET,824225,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7118374413717636,1.0662709373376922,0.6675952766274469,bat,,False,0.36051841561777226,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,SAFE,3,3,666160,Mickey Moniak,COL,DET,824225,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7062358653548827,1.0578802608110711,0.6675952766274469,bat,,False,0.36051841561777226,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,MEDIUM,1,3,681198,TJ Rumfield,COL,DET,824225,prob_walk,Walk,,0.4948611357768285,1.5283476728920455,0.3237883268015961,bat,,False,0.06382134025300953,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,MEDIUM,2,3,805808,Kevin McGonigle,DET,COL,824225,prob_walk,Walk,,0.4605130692153256,1.4222658171908362,0.3237883268015961,bat,,False,0.06382134025300953,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,MEDIUM,3,3,666160,Mickey Moniak,COL,DET,824225,prob_tb_over_2.5,TB 2.5,,0.2800532472674012,1.3415618218859011,0.2087516525132746,bat,,False,0.06382134025300953,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,LOTTO,1,3,696100,Hunter Goodman,COL,DET,824225,prob_hr,HR,,0.1893263583710453,1.708593393686398,0.1108083169879065,bat,,False,0.0024818920201436735,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,LOTTO,2,3,666160,Mickey Moniak,COL,DET,824225,prob_hr,HR,,0.1814307776610393,1.637338988560222,0.1108083169879065,bat,,False,0.0024818920201436735,2026-09-13,2026-09-14T02:37:33Z
0,2026-09-13 16:10:00+00:00,2026-09-13 16:10:00+00:00,1,True,LOTTO,3,3,805808,Kevin McGonigle,DET,COL,824225,prob_hits_over_2.5,Hits 2.5,,0.0722538243792014,1.4686382476473496,0.0491978364957788,bat,,False,0.0024818920201436735,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,MIXED,1,4,656302,Dylan Cease,TOR,BAL,822764,pitcher_k_over,Over 8.5 K,8.5,0.512707,,0.4266558175226905,arm,0.08605118247730953,False,0.04632634570826668,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,MIXED,2,4,671739,Michael Harris II,ATL,PHI,824869,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7601957025289902,1.1387074311989465,0.6675952766274469,bat,,False,0.04632634570826668,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,MIXED,3,4,592450,Aaron Judge,NYY,NYM,823495,prob_walk,Walk,,0.5390535449191466,1.6648331650617412,0.3237883268015961,bat,,False,0.04632634570826668,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,MIXED,4,4,691718,Pete Crow-Armstrong,CHC,PIT,824628,prob_hr,HR,,0.2204963883574277,1.9898902388481583,0.1108083169879065,bat,,False,0.04632634570826668,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,SAFE,1,3,693645,Cam Schlittler,NYY,NYM,823495,pitcher_k_under,Under 7.5 K,7.5,0.609976,,0.5691502497832185,arm,0.040825750216781476,False,0.3416160116223052,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,SAFE,2,3,671739,Michael Harris II,ATL,PHI,824869,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7601957025289902,1.1387074311989465,0.6675952766274469,bat,,False,0.3416160116223052,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,SAFE,3,3,670541,Yordan Alvarez,HOU,TB,822928,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7367159290490104,1.1035367607313622,0.6675952766274469,bat,,False,0.3416160116223052,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,MEDIUM,1,3,656302,Dylan Cease,TOR,BAL,822764,pitcher_k_over,Over 8.5 K,8.5,0.512707,,0.4266558175226905,arm,0.08605118247730953,False,0.07946598557956919,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,MEDIUM,2,3,656941,Kyle Schwarber,PHI,ATL,824869,prob_tb_over_3.5,TB 3.5,,0.2875279849971801,1.9820990668558685,0.1450623683776186,bat,,False,0.07946598557956919,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,MEDIUM,3,3,592450,Aaron Judge,NYY,NYM,823495,prob_walk,Walk,,0.5390535449191466,1.6648331650617412,0.3237883268015961,bat,,False,0.07946598557956919,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,LOTTO,1,3,656941,Kyle Schwarber,PHI,ATL,824869,prob_hr,HR,,0.27740166233269,2.503437195630047,0.1108083169879065,bat,,False,0.015203266359459289,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,LOTTO,2,3,592450,Aaron Judge,NYY,NYM,823495,prob_hr,HR,,0.2485572096522,2.2431277399450735,0.1108083169879065,bat,,False,0.015203266359459289,2026-09-13,2026-09-14T02:37:33Z
1,2026-09-13 17:35:00+00:00,2026-09-13 18:20:00+00:00,10,False,LOTTO,3,3,691718,Pete Crow-Armstrong,CHC,PIT,824628,prob_hr,HR,,0.2204963883574277,1.9898902388481583,0.1108083169879065,bat,,False,0.015203266359459289,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,MIXED,1,4,801139,Payton Tolle,BOS,KC,824708,pitcher_k_under,Under 6.5 K,6.5,0.5908990000000001,,0.5582686586689751,arm,0.03263034133102494,False,0.015178507835387453,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,MIXED,2,4,677951,Bobby Witt Jr.,KC,BOS,824708,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7262348858630963,1.08783706429423,0.6675952766274469,bat,,False,0.015178507835387453,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,MIXED,3,4,575929,Willson Contreras,BOS,KC,824708,prob_walk,Walk,,0.5014116885075816,1.5485786453778663,0.3237883268015961,bat,,False,0.015178507835387453,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,MIXED,4,4,695506,Jac Caglianone,KC,BOS,824708,prob_hits_over_2.5,Hits 2.5,,0.0705414306541332,1.433831966578158,0.0491978364957788,bat,,False,0.015178507835387453,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,SAFE,1,3,801139,Payton Tolle,BOS,KC,824708,pitcher_k_under,Under 6.5 K,6.5,0.5908990000000001,,0.5582686586689751,arm,0.03263034133102494,False,0.2990478933688112,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,SAFE,2,3,677951,Bobby Witt Jr.,KC,BOS,824708,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7262348858630963,1.08783706429423,0.6675952766274469,bat,,False,0.2990478933688112,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,SAFE,3,3,695506,Jac Caglianone,KC,BOS,824708,prob_hrr_over_0.5,H+R+RBI 0.5,,0.6968677801393955,1.043847679180457,0.6675952766274469,bat,,False,0.2990478933688112,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,MEDIUM,1,3,575929,Willson Contreras,BOS,KC,824708,prob_walk,Walk,,0.5014116885075816,1.5485786453778663,0.3237883268015961,bat,,False,0.06394743660444592,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,MEDIUM,2,3,677951,Bobby Witt Jr.,KC,BOS,824708,prob_hits_over_1.5,Hits 1.5,,0.2976582891102675,1.3351457995847826,0.2229406625125408,bat,,False,0.06394743660444592,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,MEDIUM,3,3,701350,Roman Anthony,BOS,KC,824708,prob_walk,Walk,,0.4284604160796582,1.3232732023171445,0.3237883268015961,bat,,False,0.06394743660444592,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,LOTTO,1,3,677951,Bobby Witt Jr.,KC,BOS,824708,prob_hits_over_2.5,Hits 2.5,,0.0839697701045157,1.7067776976680742,0.0491978364957788,bat,,False,0.0003779580105698434,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,LOTTO,2,3,695506,Jac Caglianone,KC,BOS,824708,prob_hits_over_2.5,Hits 2.5,,0.0705414306541332,1.433831966578158,0.0491978364957788,bat,,False,0.0003779580105698434,2026-09-13,2026-09-14T02:37:33Z
2,2026-09-13 19:05:00+00:00,2026-09-13 19:05:00+00:00,1,True,LOTTO,3,3,686681,Michael Massey,KC,BOS,824708,prob_hits_over_2.5,Hits 2.5,,0.0638081755053716,1.296971168861183,0.0491978364957788,bat,,False,0.0003779580105698434,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,MIXED,1,3,668227,Randy Arozarena,SEA,ATH,824952,prob_hrr_over_0.5,H+R+RBI 0.5,,0.730506487259038,1.0942355538364583,0.6675952766274469,bat,,False,0.03187599446418475,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,MIXED,2,3,663457,Lars Nootbaar,AZ,TEX,825033,prob_walk,Walk,,0.4830096597851927,1.4917451303955154,0.3237883268015961,bat,,False,0.03187599446418475,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,MIXED,3,3,672515,Gabriel Moreno,AZ,TEX,825033,prob_hits_over_2.5,Hits 2.5,,0.0903407827880465,1.8362755198757121,0.0491978364957788,bat,,True,0.03187599446418475,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,SAFE,1,3,668227,Randy Arozarena,SEA,ATH,824952,prob_hrr_over_0.5,H+R+RBI 0.5,,0.730506487259038,1.0942355538364583,0.6675952766274469,bat,,False,0.38449897934527605,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,SAFE,2,3,608369,Corey Seager,TEX,AZ,825033,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7286949596412859,1.0915220421008698,0.6675952766274469,bat,,False,0.38449897934527605,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,SAFE,3,3,663728,Cal Raleigh,SEA,ATH,824952,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7223128627553012,1.0819622128009596,0.6675952766274469,bat,,True,0.38449897934527605,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,MEDIUM,1,3,663728,Cal Raleigh,SEA,ATH,824952,prob_hr,HR,,0.2885490148476965,2.6040375189453373,0.1108083169879065,bat,,False,0.07199745971821073,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,MEDIUM,2,3,663457,Lars Nootbaar,AZ,TEX,825033,prob_walk,Walk,,0.4830096597851927,1.4917451303955154,0.3237883268015961,bat,,False,0.07199745971821073,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,MEDIUM,3,3,641487,J.P. Crawford,SEA,ATH,824952,prob_walk,Walk,,0.5165849640557626,1.5954403580840153,0.3237883268015961,bat,,True,0.07199745971821073,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,LOTTO,1,3,672515,Gabriel Moreno,AZ,TEX,825033,prob_hits_over_2.5,Hits 2.5,,0.0903407827880465,1.8362755198757121,0.0491978364957788,bat,,False,0.0014117329073151546,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,LOTTO,2,3,668227,Randy Arozarena,SEA,ATH,824952,prob_hr,HR,,0.1891909220020174,1.7073711355318708,0.1108083169879065,bat,,False,0.0014117329073151546,2026-09-13,2026-09-14T02:37:33Z
3,2026-09-13 20:05:00+00:00,2026-09-13 20:10:00+00:00,2,False,LOTTO,3,3,673962,Josh Jung,TEX,AZ,825033,prob_hits_over_2.5,Hits 2.5,,0.0825977838622911,1.6788905721368057,0.0491978364957788,bat,,True,0.0014117329073151546,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,MIXED,1,3,665487,Fernando Tatis Jr.,SD,SF,823171,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7234591995452674,1.0836793261930093,0.6675952766274469,bat,,False,0.022585785591179526,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,MIXED,2,3,805811,Bryce Eldridge,SF,SD,823171,prob_walk,Walk,,0.4243859811771672,1.3106895649058192,0.3237883268015961,bat,,False,0.022585785591179526,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,MIXED,3,3,687957,Dustin Harris,SD,SF,823171,prob_hits_over_2.5,Hits 2.5,,0.0735631179122817,1.4952510750872847,0.0491978364957788,bat,,False,0.022585785591179526,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,SAFE,1,3,665487,Fernando Tatis Jr.,SD,SF,823171,prob_hrr_over_0.5,H+R+RBI 0.5,,0.7234591995452674,1.0836793261930093,0.6675952766274469,bat,,False,0.3503404898657145,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,SAFE,2,3,701538,Jackson Merrill,SD,SF,823171,prob_hrr_over_0.5,H+R+RBI 0.5,,0.6969034341047594,1.0439010857377111,0.6675952766274469,bat,,False,0.3503404898657145,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,SAFE,3,3,592518,Manny Machado,SD,SF,823171,prob_hrr_over_0.5,H+R+RBI 0.5,,0.6948701963705447,1.04085547141808,0.6675952766274469,bat,,False,0.3503404898657145,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,MEDIUM,1,3,665487,Fernando Tatis Jr.,SD,SF,823171,prob_hits_over_1.5,Hits 1.5,,0.294728316435105,1.3220034116410955,0.2229406625125408,bat,,False,0.04768166867703393,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,MEDIUM,2,3,805811,Bryce Eldridge,SF,SD,823171,prob_walk,Walk,,0.4243859811771672,1.3106895649058192,0.3237883268015961,bat,,False,0.04768166867703393,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,MEDIUM,3,3,687551,Drew Gilbert,SF,SD,823171,prob_walk,Walk,,0.3812137466618671,1.1773548182774942,0.3237883268015961,bat,,False,0.04768166867703393,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,LOTTO,1,3,665487,Fernando Tatis Jr.,SD,SF,823171,prob_hits_over_2.5,Hits 2.5,,0.0832298583525733,1.6917381795785766,0.0491978364957788,bat,,False,0.00041504874875153544,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,LOTTO,2,3,687957,Dustin Harris,SD,SF,823171,prob_hits_over_2.5,Hits 2.5,,0.0735631179122817,1.4952510750872847,0.0491978364957788,bat,,False,0.00041504874875153544,2026-09-13,2026-09-14T02:37:33Z
4,2026-09-13 23:20:00+00:00,2026-09-13 23:20:00+00:00,1,True,LOTTO,3,3,701538,Jackson Merrill,SD,SF,823171,prob_hits_over_2.5,Hits 2.5,,0.0677890933184068,1.3778876907366269,0.0491978364957788,bat,,False,0.00041504874875153544,2026-09-13,2026-09-14T02:37:33Z
