game_pk,game_date,team,opponent,is_home,runs,runs_allowed
778563,2025-03-18,Chicago Cubs,Los Angeles Dodgers,1,1,4
778563,2025-03-18,Los Angeles Dodgers,Chicago Cubs,0,4,1
778564,2025-03-19,Chicago Cubs,Los Angeles Dodgers,1,3,6
778564,2025-03-19,Los Angeles Dodgers,Chicago Cubs,0,6,3
778557,2025-03-27,New York Yankees,Milwaukee Brewers,1,4,2
778557,2025-03-27,Milwaukee Brewers,New York Yankees,0,2,4
778556,2025-03-27,Toronto Blue Jays,Baltimore Orioles,1,2,12
778556,2025-03-27,Baltimore Orioles,Toronto Blue Jays,0,12,2
778553,2025-03-27,Texas Rangers,Boston Red Sox,1,2,5
778553,2025-03-27,Boston Red Sox,Texas Rangers,0,5,2
778555,2025-03-27,Washington Nationals,Philadelphia Phillies,1,3,7
778555,2025-03-27,Philadelphia Phillies,Washington Nationals,0,7,3
778558,2025-03-27,Kansas City Royals,Cleveland Guardians,1,4,7
778558,2025-03-27,Cleveland Guardians,Kansas City Royals,0,7,4
778559,2025-03-27,Houston Astros,New York Mets,1,3,1
778559,2025-03-27,New York Mets,Houston Astros,0,1,3
778561,2025-03-27,Cincinnati Reds,San Francisco Giants,1,4,6
778561,2025-03-27,San Francisco Giants,Cincinnati Reds,0,6,4
778545,2025-03-27,San Diego Padres,Atlanta Braves,1,7,4
778545,2025-03-27,Atlanta Braves,San Diego Padres,0,4,7
778554,2025-03-27,Chicago White Sox,Los Angeles Angels,1,8,1
778554,2025-03-27,Los Angeles Angels,Chicago White Sox,0,1,8
778562,2025-03-27,Miami Marlins,Pittsburgh Pirates,1,5,4
778562,2025-03-27,Pittsburgh Pirates,Miami Marlins,0,4,5
778551,2025-03-27,St. Louis Cardinals,Minnesota Twins,1,5,3
778551,2025-03-27,Minnesota Twins,St. Louis Cardinals,0,3,5
778546,2025-03-27,Los Angeles Dodgers,Detroit Tigers,1,5,4
778546,2025-03-27,Detroit Tigers,Los Angeles Dodgers,0,4,5
778552,2025-03-27,Arizona Diamondbacks,Chicago Cubs,1,6,10
778552,2025-03-27,Chicago Cubs,Arizona Diamondbacks,0,10,6
778547,2025-03-27,Seattle Mariners,Athletics,1,4,2
778547,2025-03-27,Athletics,Seattle Mariners,0,2,4
778560,2025-03-28,Tampa Bay Rays,Colorado Rockies,1,3,2
778560,2025-03-28,Colorado Rockies,Tampa Bay Rays,0,2,3
778549,2025-03-28,Toronto Blue Jays,Baltimore Orioles,1,8,2
778549,2025-03-28,Baltimore Orioles,Toronto Blue Jays,0,2,8
778548,2025-03-28,Miami Marlins,Pittsburgh Pirates,1,3,4
778548,2025-03-28,Pittsburgh Pirates,Miami Marlins,0,4,3
778550,2025-03-28,Texas Rangers,Boston Red Sox,1,4,1
778550,2025-03-28,Boston Red Sox,Texas Rangers,0,1,4
778518,2025-03-28,Houston Astros,New York Mets,1,1,3
778518,2025-03-28,New York Mets,Houston Astros,0,3,1
778543,2025-03-28,Arizona Diamondbacks,Chicago Cubs,1,8,1
778543,2025-03-28,Chicago Cubs,Arizona Diamondbacks,0,1,8
778541,2025-03-28,Seattle Mariners,Athletics,1,0,7
778541,2025-03-28,Athletics,Seattle Mariners,0,7,0
778542,2025-03-28,San Diego Padres,Atlanta Braves,1,4,3
778542,2025-03-28,Atlanta Braves,San Diego Padres,0,3,4
778544,2025-03-28,Los Angeles Dodgers,Detroit Tigers,1,8,5
778544,2025-03-28,Detroit Tigers,Los Angeles Dodgers,0,5,8
778538,2025-03-29,New York Yankees,Milwaukee Brewers,1,20,9
778538,2025-03-29,Milwaukee Brewers,New York Yankees,0,9,20
778534,2025-03-29,Chicago White Sox,Los Angeles Angels,1,0,1
778534,2025-03-29,Los Angeles Angels,Chicago White Sox,0,1,0
778528,2025-03-29,St. Louis Cardinals,Minnesota Twins,1,5,1
778528,2025-03-29,Minnesota Twins,St. Louis Cardinals,0,1,5
778536,2025-03-29,Toronto Blue Jays,Baltimore Orioles,1,5,9
778536,2025-03-29,Baltimore Orioles,Toronto Blue Jays,0,9,5
778535,2025-03-29,Washington Nationals,Philadelphia Phillies,1,6,11
778535,2025-03-29,Philadelphia Phillies,Washington Nationals,0,11,6
778529,2025-03-29,Kansas City Royals,Cleveland Guardians,1,4,3
778529,2025-03-29,Cleveland Guardians,Kansas City Royals,0,3,4
778540,2025-03-29,Cincinnati Reds,San Francisco Giants,1,3,2
778540,2025-03-29,San Francisco Giants,Cincinnati Reds,0,2,3
778537,2025-03-29,Tampa Bay Rays,Colorado Rockies,1,1,2
778537,2025-03-29,Colorado Rockies,Tampa Bay Rays,0,2,1
778539,2025-03-29,Miami Marlins,Pittsburgh Pirates,1,5,4
778539,2025-03-29,Pittsburgh Pirates,Miami Marlins,0,4,5
778531,2025-03-29,Texas Rangers,Boston Red Sox,1,4,3
778531,2025-03-29,Boston Red Sox,Texas Rangers,0,3,4
778530,2025-03-29,Houston Astros,New York Mets,1,2,1
778530,2025-03-29,New York Mets,Houston Astros,0,1,2
778520,2025-03-29,San Diego Padres,Atlanta Braves,1,1,0
778520,2025-03-29,Atlanta Braves,San Diego Padres,0,0,1
778532,2025-03-29,Arizona Diamondbacks,Chicago Cubs,1,3,4
778532,2025-03-29,Chicago Cubs,Arizona Diamondbacks,0,4,3
778533,2025-03-29,Los Angeles Dodgers,Detroit Tigers,1,7,3
778533,2025-03-29,Detroit Tigers,Los Angeles Dodgers,0,3,7
778521,2025-03-29,Seattle Mariners,Athletics,1,2,4
778521,2025-03-29,Athletics,Seattle Mariners,0,4,2
778526,2025-03-30,Washington Nationals,Philadelphia Phillies,1,5,1
778526,2025-03-30,Philadelphia Phillies,Washington Nationals,0,1,5
778523,2025-03-30,New York Yankees,Milwaukee Brewers,1,12,3
778523,2025-03-30,Milwaukee Brewers,New York Yankees,0,3,12
778525,2025-03-30,Toronto Blue Jays,Baltimore Orioles,1,3,1
778525,2025-03-30,Baltimore Orioles,Toronto Blue Jays,0,1,3
778522,2025-03-30,Cincinnati Reds,San Francisco Giants,1,3,6
778522,2025-03-30,San Francisco Giants,Cincinnati Reds,0,6,3
778524,2025-03-30,Tampa Bay Rays,Colorado Rockies,1,6,4
778524,2025-03-30,Colorado Rockies,Tampa Bay Rays,0,4,6
778519,2025-03-30,Miami Marlins,Pittsburgh Pirates,1,3,2
778519,2025-03-30,Pittsburgh Pirates,Miami Marlins,0,2,3
778510,2025-03-30,Kansas City Royals,Cleveland Guardians,1,2,6
778510,2025-03-30,Cleveland Guardians,Kansas City Royals,0,6,2
778527,2025-03-30,Chicago White Sox,Los Angeles Angels,1,2,3
778527,2025-03-30,Los Angeles Angels,Chicago White Sox,0,3,2
778517,2025-03-30,St. Louis Cardinals,Minnesota Twins,1,9,2
778517,2025-03-30,Minnesota Twins,St. Louis Cardinals,0,2,9
778516,2025-03-30,Texas Rangers,Boston Red Sox,1,3,2
778516,2025-03-30,Boston Red Sox,Texas Rangers,0,2,3
778515,2025-03-30,Arizona Diamondbacks,Chicago Cubs,1,10,6
778515,2025-03-30,Chicago Cubs,Arizona Diamondbacks,0,6,10
778513,2025-03-30,Seattle Mariners,Athletics,1,2,1
778513,2025-03-30,Athletics,Seattle Mariners,0,1,2
778514,2025-03-30,San Diego Padres,Atlanta Braves,1,5,0
778514,2025-03-30,Atlanta Braves,San Diego Padres,0,0,5
778506,2025-03-31,Chicago White Sox,Minnesota Twins,1,9,0
778506,2025-03-31,Minnesota Twins,Chicago White Sox,0,0,9
778504,2025-03-31,Milwaukee Brewers,Kansas City Royals,1,1,11
778504,2025-03-31,Kansas City Royals,Milwaukee Brewers,0,11,1
778512,2025-03-31,Baltimore Orioles,Boston Red Sox,1,8,5
778512,2025-03-31,Boston Red Sox,Baltimore Orioles,0,5,8
778502,2025-03-31,Philadelphia Phillies,Colorado Rockies,1,6,1
778502,2025-03-31,Colorado Rockies,Philadelphia Phillies,0,1,6
778511,2025-03-31,Cincinnati Reds,Texas Rangers,1,14,3
778511,2025-03-31,Texas Rangers,Cincinnati Reds,0,3,14
778509,2025-03-31,Miami Marlins,New York Mets,1,4,10
778509,2025-03-31,New York Mets,Miami Marlins,0,10,4
778508,2025-03-31,Tampa Bay Rays,Pittsburgh Pirates,1,6,1
778508,2025-03-31,Pittsburgh Pirates,Tampa Bay Rays,0,1,6
778507,2025-03-31,Toronto Blue Jays,Washington Nationals,1,5,2
778507,2025-03-31,Washington Nationals,Toronto Blue Jays,0,2,5
778503,2025-03-31,St. Louis Cardinals,Los Angeles Angels,1,4,5
778503,2025-03-31,Los Angeles Angels,St. Louis Cardinals,0,5,4
778505,2025-03-31,Houston Astros,San Francisco Giants,1,2,7
778505,2025-03-31,San Francisco Giants,Houston Astros,0,7,2
778499,2025-03-31,San Diego Padres,Cleveland Guardians,1,7,2
778499,2025-03-31,Cleveland Guardians,San Diego Padres,0,2,7
778496,2025-03-31,Seattle Mariners,Detroit Tigers,1,6,9
778496,2025-03-31,Detroit Tigers,Seattle Mariners,0,9,6
778501,2025-03-31,Athletics,Chicago Cubs,1,3,18
778501,2025-03-31,Chicago Cubs,Athletics,0,18,3
778500,2025-03-31,Los Angeles Dodgers,Atlanta Braves,1,6,1
778500,2025-03-31,Atlanta Braves,Los Angeles Dodgers,0,1,6
778498,2025-04-01,Cincinnati Reds,Texas Rangers,1,0,1
778498,2025-04-01,Texas Rangers,Cincinnati Reds,0,1,0
778497,2025-04-01,Miami Marlins,New York Mets,1,4,2
778497,2025-04-01,New York Mets,Miami Marlins,0,2,4
778493,2025-04-01,Tampa Bay Rays,Pittsburgh Pirates,1,7,0
778493,2025-04-01,Pittsburgh Pirates,Tampa Bay Rays,0,0,7
778492,2025-04-01,New York Yankees,Arizona Diamondbacks,1,5,7
778492,2025-04-01,Arizona Diamondbacks,New York Yankees,0,7,5
778491,2025-04-01,Toronto Blue Jays,Washington Nationals,1,5,3
778491,2025-04-01,Washington Nationals,Toronto Blue Jays,0,3,5
778490,2025-04-01,Chicago White Sox,Minnesota Twins,1,3,8
778490,2025-04-01,Minnesota Twins,Chicago White Sox,0,8,3
778488,2025-04-01,Milwaukee Brewers,Kansas City Royals,1,5,0
778488,2025-04-01,Kansas City Royals,Milwaukee Brewers,0,0,5
778495,2025-04-01,St. Louis Cardinals,Los Angeles Angels,1,7,9
778495,2025-04-01,Los Angeles Angels,St. Louis Cardinals,0,9,7
778489,2025-04-01,Houston Astros,San Francisco Giants,1,1,3
778489,2025-04-01,San Francisco Giants,Houston Astros,0,3,1
778485,2025-04-01,San Diego Padres,Cleveland Guardians,1,7,0
778485,2025-04-01,Cleveland Guardians,San Diego Padres,0,0,7
778486,2025-04-01,Seattle Mariners,Detroit Tigers,1,1,4
778486,2025-04-01,Detroit Tigers,Seattle Mariners,0,4,1
778494,2025-04-01,Athletics,Chicago Cubs,1,4,7
778494,2025-04-01,Chicago Cubs,Athletics,0,7,4
778487,2025-04-01,Los Angeles Dodgers,Atlanta Braves,1,3,1
778487,2025-04-01,Atlanta Braves,Los Angeles Dodgers,0,1,3
778480,2025-04-02,Cincinnati Reds,Texas Rangers,1,0,1
778480,2025-04-02,Texas Rangers,Cincinnati Reds,0,1,0
778479,2025-04-02,Tampa Bay Rays,Pittsburgh Pirates,1,2,4
778479,2025-04-02,Pittsburgh Pirates,Tampa Bay Rays,0,4,2
778477,2025-04-02,Milwaukee Brewers,Kansas City Royals,1,3,2
778477,2025-04-02,Kansas City Royals,Milwaukee Brewers,0,2,3
778473,2025-04-02,St. Louis Cardinals,Los Angeles Angels,1,12,5
778473,2025-04-02,Los Angeles Angels,St. Louis Cardinals,0,5,12
778474,2025-04-02,Chicago White Sox,Minnesota Twins,1,1,6
778474,2025-04-02,Minnesota Twins,Chicago White Sox,0,6,1
778478,2025-04-02,Toronto Blue Jays,Washington Nationals,1,4,2
778478,2025-04-02,Washington Nationals,Toronto Blue Jays,0,2,4
778471,2025-04-02,Athletics,Chicago Cubs,1,2,10
778471,2025-04-02,Chicago Cubs,Athletics,0,10,2
778476,2025-04-02,San Diego Padres,Cleveland Guardians,1,5,2
778476,2025-04-02,Cleveland Guardians,San Diego Padres,0,2,5
778469,2025-04-02,Seattle Mariners,Detroit Tigers,1,3,2
778469,2025-04-02,Detroit Tigers,Seattle Mariners,0,2,3
778475,2025-04-02,Houston Astros,San Francisco Giants,1,3,6
778475,2025-04-02,San Francisco Giants,Houston Astros,0,6,3
778481,2025-04-02,Miami Marlins,New York Mets,1,5,6
778481,2025-04-02,New York Mets,Miami Marlins,0,6,5
778483,2025-04-02,Baltimore Orioles,Boston Red Sox,1,0,3
778483,2025-04-02,Boston Red Sox,Baltimore Orioles,0,3,0
778482,2025-04-02,Philadelphia Phillies,Colorado Rockies,1,5,1
778482,2025-04-02,Colorado Rockies,Philadelphia Phillies,0,1,5
778484,2025-04-02,New York Yankees,Arizona Diamondbacks,1,3,4
778484,2025-04-02,Arizona Diamondbacks,New York Yankees,0,4,3
778472,2025-04-02,Los Angeles Dodgers,Atlanta Braves,1,6,5
778472,2025-04-02,Atlanta Braves,Los Angeles Dodgers,0,5,6
778470,2025-04-03,Baltimore Orioles,Boston Red Sox,1,4,8
778470,2025-04-03,Boston Red Sox,Baltimore Orioles,0,8,4
778467,2025-04-03,Philadelphia Phillies,Colorado Rockies,1,3,1
778467,2025-04-03,Colorado Rockies,Philadelphia Phillies,0,1,3
778462,2025-04-03,Minnesota Twins,Houston Astros,1,2,5
778462,2025-04-03,Houston Astros,Minnesota Twins,0,5,2
778466,2025-04-03,New York Yankees,Arizona Diamondbacks,1,9,7
778466,2025-04-03,Arizona Diamondbacks,New York Yankees,0,7,9
778468,2025-04-03,Milwaukee Brewers,Cincinnati Reds,1,1,0
778468,2025-04-03,Cincinnati Reds,Milwaukee Brewers,0,0,1
778458,2025-04-04,Detroit Tigers,Chicago White Sox,1,7,4
778458,2025-04-04,Chicago White Sox,Detroit Tigers,0,4,7
778463,2025-04-04,Boston Red Sox,St. Louis Cardinals,1,13,9
778463,2025-04-04,St. Louis Cardinals,Boston Red Sox,0,9,13
778460,2025-04-04,Chicago Cubs,San Diego Padres,1,3,1
778460,2025-04-04,San Diego Padres,Chicago Cubs,0,1,3
778465,2025-04-04,New York Mets,Toronto Blue Jays,1,5,0
778465,2025-04-04,Toronto Blue Jays,New York Mets,0,0,5
778456,2025-04-04,Colorado Rockies,Athletics,1,3,6
778456,2025-04-04,Athletics,Colorado Rockies,0,6,3
778461,2025-04-04,Pittsburgh Pirates,New York Yankees,1,4,9
778461,2025-04-04,New York Yankees,Pittsburgh Pirates,0,9,4
778444,2025-04-04,San Francisco Giants,Seattle Mariners,1,10,9
778444,2025-04-04,Seattle Mariners,San Francisco Giants,0,9,10
778457,2025-04-04,Washington Nationals,Arizona Diamondbacks,1,4,6
778457,2025-04-04,Arizona Diamondbacks,Washington Nationals,0,6,4
778459,2025-04-04,Philadelphia Phillies,Los Angeles Dodgers,1,3,2
778459,2025-04-04,Los Angeles Dodgers,Philadelphia Phillies,0,2,3
778464,2025-04-04,Atlanta Braves,Miami Marlins,1,10,0
778464,2025-04-04,Miami Marlins,Atlanta Braves,0,0,10
778455,2025-04-04,Kansas City Royals,Baltimore Orioles,1,8,2
778455,2025-04-04,Baltimore Orioles,Kansas City Royals,0,2,8
778454,2025-04-04,Texas Rangers,Tampa Bay Rays,1,5,2
778454,2025-04-04,Tampa Bay Rays,Texas Rangers,0,2,5
778453,2025-04-04,Milwaukee Brewers,Cincinnati Reds,1,3,2
778453,2025-04-04,Cincinnati Reds,Milwaukee Brewers,0,2,3
778447,2025-04-04,Los Angeles Angels,Cleveland Guardians,1,6,8
778447,2025-04-04,Cleveland Guardians,Los Angeles Angels,0,8,6
778445,2025-04-05,Detroit Tigers,Chicago White Sox,1,7,2
778445,2025-04-05,Chicago White Sox,Detroit Tigers,0,2,7
778440,2025-04-05,Minnesota Twins,Houston Astros,1,6,1
778440,2025-04-05,Houston Astros,Minnesota Twins,0,1,6
778450,2025-04-05,Chicago Cubs,San Diego Padres,1,7,1
778450,2025-04-05,San Diego Padres,Chicago Cubs,0,1,7
778452,2025-04-05,Washington Nationals,Arizona Diamondbacks,1,4,3
778452,2025-04-05,Arizona Diamondbacks,Washington Nationals,0,3,4
778448,2025-04-05,Philadelphia Phillies,Los Angeles Dodgers,1,1,3
778448,2025-04-05,Los Angeles Dodgers,Philadelphia Phillies,0,3,1
778449,2025-04-05,Pittsburgh Pirates,New York Yankees,1,4,10
778449,2025-04-05,New York Yankees,Pittsburgh Pirates,0,10,4
778441,2025-04-05,Kansas City Royals,Baltimore Orioles,1,1,8
778441,2025-04-05,Baltimore Orioles,Kansas City Royals,0,8,1
778438,2025-04-05,Texas Rangers,Tampa Bay Rays,1,6,4
778438,2025-04-05,Tampa Bay Rays,Texas Rangers,0,4,6
778446,2025-04-05,New York Mets,Toronto Blue Jays,1,3,2
778446,2025-04-05,Toronto Blue Jays,New York Mets,0,2,3
778439,2025-04-05,Milwaukee Brewers,Cincinnati Reds,1,7,11
778439,2025-04-05,Cincinnati Reds,Milwaukee Brewers,0,11,7
778451,2025-04-05,Atlanta Braves,Miami Marlins,1,0,4
